2026/03/07 05:13:47 [crit] 156495#156495: *36866 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 89.248.168.239, server: johnsathvik.com, request: "POST /admin/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/admin/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php", host: "3.137.217.70"
2026/03/07 15:50:35 [crit] 156495#156495: *37172 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 20.205.226.191, server: johnsathvik.com, request: "GET /admin.php HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/admin.php", host: "johnsathvik.com"
2026/03/07 15:50:35 [crit] 156495#156495: *37172 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 20.205.226.191, server: johnsathvik.com, request: "GET /adminfuns.php HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/adminfuns.php", host: "johnsathvik.com"
2026/03/07 16:10:53 [crit] 156495#156495: *37215 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 20.214.137.177, server: johnsathvik.com, request: "GET /admin.php HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/admin.php", host: "johnsathvik.com"
2026/03/07 16:10:54 [crit] 156495#156495: *37215 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 20.214.137.177, server: johnsathvik.com, request: "GET /adminfuns.php HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/adminfuns.php", host: "johnsathvik.com"
2026/03/07 16:21:54 [crit] 156495#156495: *37297 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 35.189.151.148, server: johnsathvik.com, request: "GET /admin_backup.zip HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/admin_backup.zip", host: "johnsathvik.com"
2026/03/07 16:21:56 [crit] 156496#156496: *37706 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 35.189.151.148, server: johnsathvik.com, request: "GET /admin/backup.zip HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/admin/backup.zip", host: "johnsathvik.com"
2026/03/07 16:21:57 [crit] 156495#156495: *37800 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 35.189.151.148, server: johnsathvik.com, request: "GET /admincp.zip HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/admincp.zip", host: "johnsathvik.com"
2026/03/07 16:21:58 [crit] 156496#156496: *38060 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 35.189.151.148, server: johnsathvik.com, request: "GET /adminpanel.zip HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/adminpanel.zip", host: "johnsathvik.com"
2026/03/07 16:21:58 [crit] 156495#156495: *38090 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 35.189.151.148, server: johnsathvik.com, request: "GET /administrators.zip HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/administrators.zip", host: "johnsathvik.com"
2026/03/07 16:21:58 [crit] 156496#156496: *38180 connect() to unix:/home/ubuntu/MyPortfolio/admin.sock failed (2: No such file or directory) while connecting to upstream, client: 35.189.151.148, server: johnsathvik.com, request: "GET /administration.zip HTTP/1.1", upstream: "http://unix:/home/ubuntu/MyPortfolio/admin.sock:/administration.zip", host: "johnsathvik.com"
